Date;High;Low;Close;ADX
13.10.2010;50.75;50.28;50.52;24.01
14.10.2010;50.64;50.17;50.42;23.79
15.10.2010;51.5;50.63;51.49;24.57
18.10.2010;51.72;51.3;51.3;25.51
19.10.2010;51.3;50.42;50.82;24.76
20.10.2010;51.57;50.87;51.19;24.38
21.10.2010;51.71;50.79;51.29;24.18
22.10.2010;51.69;51.21;51.64;24
25.10.2010;52.23;51.85;51.89;24.46
26.10.2010;52.15;51.42;52.03;24.07
27.10.2010;52.23;51.66;52.19;23.81
28.10.2010;52.45;51.84;52.3;23.84
29.10.2010;52.49;52.17;52.18;23.92
01.11.2010;52.75;51.98;52.22;24.33
02.11.2010;52.93;52.58;52.78;24.92
03.11.2010;53.04;52.36;53.02;24.97
04.11.2010;53.86;53.5;53.67;25.98
05.11.2010;53.81;53.51;53.67;26.91
08.11.2010;53.83;53.45;53.74;27.62
09.11.2010;54.04;53.21;53.45;27.69
10.11.2010;53.77;53.1;53.72;27.49
11.11.2010;53.48;52.66;53.39;26.3
12.11.2010;53.37;52.11;52.51;24.68
15.11.2010;52.88;52.29;52.32;23.18
16.11.2010;52.25;50.85;51.45;23.74
17.11.2010;51.87;51.35;51.6;24.26
18.11.2010;52.79;52.13;52.43;23.11
19.11.2010;52.59;52.14;52.47;22.05
22.11.2010;52.91;52.17;52.91;20.56
23.11.2010;52.45;51.77;52.07;19.74
24.11.2010;53.25;52.56;53.12;18.84
26.11.2010;53.13;52.67;52.77;18
29.11.2010;52.9;52.1;52.73;17.04
30.11.2010;52.74;51.88;52.09;16.45
01.12.2010;53.46;52.84;53.19;15.69
02.12.2010;53.81;53.21;53.73;15.42
03.12.2010;53.94;53.5;53.87;15.32
06.12.2010;53.95;53.68;53.85;15.25
07.12.2010;54.52;53.82;53.88;15.88
08.12.2010;54.15;53.69;54.08;16.22
09.12.2010;54.44;53.95;54.14;16.89
10.12.2010;54.55;54.09;54.5;17.64
13.12.2010;54.74;54.27;54.3;18.56
14.12.2010;54.62;54.23;54.4;19.33
15.12.2010;54.7;54.03;54.16;19.58
16.12.2010;54.66;54.06;54.58;19.81
17.12.2010;54.68;54.41;54.52;20.05
20.12.2010;54.76;54.16;54.56;19.65
21.12.2010;54.89;54.62;54.89;19.51
22.12.2010;54.96;54.79;54.89;19.51
23.12.2010;54.87;54.61;54.74;19.02
27.12.2010;54.86;54.21;54.77;17.73
28.12.2010;54.92;54.55;54.67;16.53
29.12.2010;54.9;54.73;54.79;15.42
30.12.2010;54.8;54.55;54.66;14.7
31.12.2010;54.62;54.21;54.46;14.79
03.01.2011;55.69;54.95;55.31;14.88
04.01.2011;55.55;54.92;55.27;14.9
05.01.2011;55.76;55.07;55.74;15.27
06.01.2011;55.96;55.68;55.92;15.93
07.01.2011;56.05;55.32;55.87;15.67
10.01.2011;56.18;55.58;56.08;15.66
11.01.2011;56.36;55.95;56.16;15.97
12.01.2011;56.56;56.2;56.56;16.59
13.01.2011;56.73;56.41;56.58;17.44
14.01.2011;57.02;56.46;57;18.68
18.01.2011;57.23;56.49;57.16;20.11
19.01.2011;57.26;56.32;56.51;20.93
20.01.2011;56.35;55.68;56.11;20.06
21.01.2011;56.49;55.65;55.68;19.5
24.01.2011;56.46;55.68;56.45;18.99
25.01.2011;56.55;56.05;56.53;18.68
26.01.2011;56.98;56.45;56.83;19.18
27.01.2011;57.35;56.92;57.18;20.21
28.01.2011;57.22;55.47;55.73;19.32
31.01.2011;56.16;55.39;56;18.61
01.02.2011;57.18;56.36;57.05;18.16
02.02.2011;57.17;56.84;56.96;17.75
03.02.2011;57.14;56.4;57.06;16.63
04.02.2011;57.42;56.9;57.38;16.01
07.02.2011;57.97;57.4;57.65;16.15
08.02.2011;58.07;57.56;58.03;16.4
09.02.2011;58.12;57.75;57.93;16.71
